ID,STIX ID,name,description,url,created,last modified,domain,version,relationship citations
M1036,course-of-action--f9f9e6ef-bc0a-41ad-ba11-0924e5e84c4c,Account Use Policies,"Configure features related to account use like login attempt lockouts, specific login times, etc.",https://attack.mitre.org/mitigations/M1036,11 June 2019,21 October 2022,enterprise-attack,1.0,(Citation: Microsoft Common Conditional Access Policies)
M1015,course-of-action--e3388c78-2a8d-47c2-8422-c1398b324462,Active Directory Configuration,"Configure Active Directory to prevent use of certain techniques; use SID Filtering, etc.",https://attack.mitre.org/mitigations/M1015,06 June 2019,29 May 2020,enterprise-attack,1.1,"(Citation: Mandiant Defend UNC2452 White Paper),(Citation: Microsoft MS14-025),(Citation: Microsoft Netdom Trust Sept 2012),(Citation: Microsoft Protected Users Security Group),(Citation: ADSecurity Kerberos and KRBTGT),(Citation: AdSecurity Kerberos GT Aug 2015),(Citation: Microsoft SID Filtering Quarantining Jan 2009),(Citation: SpecterOps Certified Pre Owned),(Citation: Microsoft Replication ACL),(Citation: STIG krbtgt reset),(Citation: Microsoft Trust Considerations Nov 2014),(Citation: AdSecurity DCSync Sept 2015),(Citation: ADSecurity Mimikatz DCSync)"
M1049,course-of-action--a6a47a06-08fc-4ec4-bdc3-20373375ebb9,Antivirus/Antimalware,Use signatures or heuristics to detect malicious software.,https://attack.mitre.org/mitigations/M1049,11 June 2019,31 March 2020,enterprise-attack,1.1,"(Citation: Anomali Template Injection MAR 2018),(Citation: Mandiant Cloudy Logs 2023),(Citation: Microsoft AMSI June 2015),(Citation: SourceForge rkhunter),(Citation: Chkrootkit Main)"
M1013,course-of-action--25dc1ce8-eb55-4333-ae30-a7cb4f5894a1,Application Developer Guidance,This mitigation describes any guidance or training given to developers of applications to avoid introducing security weaknesses that an adversary may be able to take advantage of.,https://attack.mitre.org/mitigations/M1013,25 October 2017,27 September 2023,"enterprise-attack,mobile-attack",1.1,"(Citation: Bugcrowd Replay Attack),(Citation: Comparitech Replay Attack),(Citation: FireEye DLL Side-Loading),(Citation: Apple Developer Doco Hardened Runtime),(Citation: Apple App Security Overview)"
M1048,course-of-action--b9f0c069-abbe-4a07-a245-2481219a1463,Application Isolation and Sandboxing,Restrict execution of code to a virtual environment on or in transit to an endpoint system.,https://attack.mitre.org/mitigations/M1048,11 June 2019,31 March 2020,enterprise-attack,1.1,"(Citation: Windows Blogs Microsoft Edge Sandbox),(Citation: Kubernetes Hardening Guide),(Citation: Ars Technica Pwn2Own 2017 VM Escape),(Citation: Microsoft Protected View)"
M1047,course-of-action--cc2399fd-3cd3-4319-8d0a-fbd6420cdaf8,Audit,"Perform audits or scans of systems, permissions, insecure software, insecure configurations, etc. to identify potential weaknesses.",https://attack.mitre.org/mitigations/M1047,11 June 2019,31 March 2023,enterprise-attack,1.2,"(Citation: Secureworks - AT.exe Scheduled Task),(Citation: Microsoft Sxstrace),(Citation: Mandiant Cloudy Logs 2023),(Citation: GitHub Bloodhound),(Citation: Kifarunix - Task Scheduling in Linux),(Citation: ADSecurity Finding Passwords in SYSVOL),(Citation: Cisco IOS Software Integrity Assurance - Change Control),(Citation: GitHub Certify),(Citation: Microsoft Dynamic-Link Library Security),(Citation: Microsoft Preauthentication Jul 2012),(Citation: Powersploit),(Citation: Cisco IOS Software Integrity Assurance - Image File Verification),(Citation: FireEye ADFS),(Citation: Vulnerability and Exploit Detector),(Citation: GitHub PSPKIAudit),(Citation: MagicWeb),(Citation: Cisco IOS Software Integrity Assurance - Image File Integrity),(Citation: Mandiant Azure AD Backdoors),(Citation: Microsoft Manage Mail Flow Rules 2023),(Citation: Amazon S3 Security, 2019),(Citation: Pfammatter - Hidden Inbox Rules),(Citation: Github UACMe),(Citation: Stealthbits Cracking AS-REP Roasting Jun 2019),(Citation: Microsoft Get-InboxRule),(Citation: SpecterOps Certified Pre Owned),(Citation: Microsoft Tim McMichael Exchange Mail Forwarding 2),(Citation: Microsoft CreateProcess),(Citation: Kubernetes Hardening Guide)"
M1040,course-of-action--90f39ee1-d5a3-4aaa-9f28-3b42815b0d46,Behavior Prevention on Endpoint,"Use capabilities to prevent suspicious behavior patterns from occurring on endpoint systems. This could include suspicious process, file, API call, etc. behavior.",https://attack.mitre.org/mitigations/M1040,11 June 2019,11 June 2019,enterprise-attack,1.0,"(Citation: Microsoft ASR Nov 2017),(Citation: Enigma Reviving DDE Jan 2018),(Citation: win10_asr),(Citation: Microsoft_rec_block_rules),(Citation: Malicious Driver Reporting Center),(Citation: Microsoft driver block rules),(Citation: Microsoft ASR Obfuscation)"
M1046,course-of-action--7da0387c-ba92-4553-b291-b636ee42b2eb,Boot Integrity,Use secure methods to boot a system and verify the integrity of the operating system and loading mechanisms.,https://attack.mitre.org/mitigations/M1046,11 June 2019,19 May 2020,enterprise-attack,1.0,"(Citation: TCG Trusted Platform Module),(Citation: Microsoft TESTSIGNING Feb 2021),(Citation: ESET LoJax Sept 2018),(Citation: Cisco IOS Software Integrity Assurance - Secure Boot),(Citation: TechNet Secure Boot Process),(Citation: Intel Hardware-based Security Technologies)"
M1045,course-of-action--590777b3-b475-4c7c-aaf8-f4a73b140312,Code Signing,Enforce binary and application integrity with digital signature verification to prevent untrusted code from executing.,https://attack.mitre.org/mitigations/M1045,11 June 2019,20 May 2020,enterprise-attack,1.1,"(Citation: applescript signing),(Citation: Content trust in Azure Container Registry),(Citation: Cisco IOS Software Integrity Assurance - Deploy Signed IOS),(Citation: Content trust in Docker)"
M1043,course-of-action--49c06d54-9002-491d-9147-8efb537fbd26,Credential Access Protection,Use capabilities to prevent successful credential access by adversaries; including blocking forms of credential dumping.,https://attack.mitre.org/mitigations/M1043,11 June 2019,21 October 2022,enterprise-attack,1.1,"(Citation: GitHub SHB Credential Guard),(Citation: Microsoft Credential Guard April 2017),(Citation: Cisco IOS Software Integrity Assurance - Credentials Management),(Citation: Microsoft Enable Cred Guard April 2017),(Citation: Cisco IOS Software Integrity Assurance - AAA),(Citation: TechNet Credential Guard)"
